gamma,p,d_static,alpha_static,F_raw,F_static,Y_static,R_static,d_adaptive,alpha_adaptive,F_adaptive,Y_adaptive,R_adaptive,delta_F,delta_Y,delta_T
0.060000000000000005,0.060000000000000005,1,0.47894737124443054,0.9115958274526373,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.060000000000000005,0.06999999999999999,1,0.47894737124443054,0.9019004677378049,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.060000000000000005,0.08,1,0.47894737124443054,0.892205108022972,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.060000000000000005,0.09,1,0.47894737124443054,0.8825097483081393,0.8344492172127111,0.5,100.0,1,0.47894737124443054,0.0,0.0,-10000.0,-0.8344492172127111,-0.5,-10100.0
0.060000000000000005,0.09999999999999999,1,0.47894737124443054,0.8728143885933066,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.060000000000000005,0.11,1,0.47894737124443054,0.863119028878474,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.060000000000000005,0.12,1,0.47894737124443054,0.8534236691636412,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.060000000000000005,0.13,1,0.47894737124443054,0.8437283094488086,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.060000000000000005,0.14,1,0.47894737124443054,0.834032949733976,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.060000000000000005,0.15000000000000002,1,0.47894737124443054,0.8243375900191434,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.060000000000000005,0.16,1,0.47894737124443054,0.8146422303043106,0.729847065798815,0.5,100.0,1,0.47894737124443054,0.0,0.0,-10000.0,-0.729847065798815,-0.5,-10100.0
0.060000000000000005,0.17,1,0.47894737124443054,0.8049468705894781,0.0,0.0,0.0,1,0.47894737124443054,0.71649783885647,0.5,-9900.0,0.71649783885647,0.5,-9900.0
